"Year","Scientic Name","Common Name"
"2016","<a href=""https://www.aphis.usda.gov/sites/default/files/bactrocera-tau-host-list.pdf"">Bactrocera tau</a>","Fruit Fly"
"2018","<a href=""https://www.aphis.usda.gov/sites/default/files/ecff-host-list.pdf"">Rhagoletis cerasi</a>","European Cherry Fruit Fly"
"2016","<a href=""https://www.aphis.usda.gov/sites/default/files/malaysian-fruit-fly-host-list.pdf"">Bactrocera latifrons</a>","Malaysian Fruit Fly"
"2018","<a href=""https://www.aphis.usda.gov/sites/default/files/mango-fruitfly-host-list.pdf"">Bactrocera frauenfeldi</a>","Mango Fruit Fly"
"2017","<a href=""https://www.aphis.usda.gov/sites/default/files/medfly-host-list.pdf"">Ceratitis capitata</a>","Mediterranean Fruit Fly"
"2016","<a href=""https://www.aphis.usda.gov/sites/default/files/melon-fruit-fly-host-list.pdf"">Bactrocera cucurbitae</a>","Melon Fly"
"2021","<a href=""https://www.aphis.usda.gov/sites/default/files/mexfly-host-list.pdf"">Anastrepha ludens</a>","Mexican Fruit Fly"
"2018","<a href=""https://www.aphis.usda.gov/sites/default/files/new-world-guava-fruit-fly-host-list.pdf"">Anastrepha striata</a>","New World Guava Fruit Fly"
"2016","<a href=""https://www.aphis.usda.gov/sites/default/files/off-hostlist.pdf"">Bactrocera dorsalis</a>","Oriental Fruit fly"
"2017","<a href=""https://www.aphis.usda.gov/sites/default/files/peach-fruit-fly-host-list.pdf"">Bactrocera zonata</a>","Peach Fruit Fly"
"2024","<a href=""https://www.aphis.usda.gov/sites/default/files/queensland-fruit-fly-regulated-host-list.pdf"">Bactrocera tryoni</a>","Queensland Fruit Fly"
"2019","<a href=""https://www.aphis.usda.gov/sites/default/files/sapote-ff-host-list.pdf"">Anastrepha serpentina</a>","Sapote Fruit Fly"
"2019","<a href=""https://www.aphis.usda.gov/sites/default/files/white-striped-ff-host-list.pdf"">Bactrocera albistrigata</a>","White Striped Fruit Fly"

