us_port,month,arcgis_cpri,arcgis_monthly_risk,arcgis_detections_total,arcgis_routes,species_bdorsalis,species_ccapitata,species_anastrepha,pathway_passenger,pathway_cargo,pathway_courier,n_counties,arcgis_risk_class,arcgis_risk_numeric,port_temp_f,temp_suitability,temp_viable,temp_weighted_risk,species_diversity_idx,peak_season,seasonal_risk,cpri_temp_composite,route_risk_composite,risk_vs_annual,log_routes,log_detections
IAH,1,31.57,15.0,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,43,0.3,1,4.5,0.6666,0,0.0,9.47,0.0,-16.57,0.0,6.5539
IAH,2,31.57,42.33,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,47,0.5333333333333333,1,22.58,0.6666,0,0.0,16.84,0.0,10.76,0.0,6.5539
IAH,3,31.57,68.33,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,54,0.65,1,44.41,0.6666,0,0.0,20.52,0.0,36.76,0.0,6.5539
IAH,4,31.57,28.83,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,62,0.7833333333333333,1,22.58,0.6666,0,0.0,24.73,0.0,-2.74,0.0,6.5539
IAH,5,31.57,30.17,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,69,0.9,1,27.15,0.6666,0,0.0,28.41,0.0,-1.4,0.0,6.5539
IAH,6,31.57,22.33,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,74,0.9833333333333334,1,21.96,0.6666,1,21.96,31.04,0.0,-9.24,0.0,6.5539
IAH,7,31.57,3.5,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,76,0.9,1,3.15,0.6666,1,3.15,28.41,0.0,-28.07,0.0,6.5539
IAH,8,31.57,0.0,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,76,0.9,1,0.0,0.6666,1,0.0,28.41,0.0,-31.57,0.0,6.5539
IAH,9,31.57,13.5,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,72,0.95,1,12.82,0.6666,1,12.82,29.99,0.0,-18.07,0.0,6.5539
IAH,10,31.57,0.5,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,62,0.7833333333333333,1,0.39,0.6666,0,0.0,24.73,0.0,-31.07,0.0,6.5539
IAH,11,31.57,1.0,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,52,0.6166666666666667,1,0.62,0.6666,0,0.0,19.47,0.0,-30.57,0.0,6.5539
IAH,12,31.57,1.67,701,0,33.0,34.0,33.0,54.0,35.0,11.0,6,MEDIUM,1,45,0.5,1,0.84,0.6666,0,0.0,15.78,0.0,-29.9,0.0,6.5539
LAX,1,30.48,2.56,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,48,0.55,1,1.41,0.6666,0,0.0,16.76,0.0,-27.92,0.0,7.2855
LAX,2,30.48,3.83,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,49,0.5666666666666667,1,2.17,0.6666,0,0.0,17.27,0.0,-26.65,0.0,7.2855
LAX,3,30.48,5.06,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,51,0.6,1,3.04,0.6666,0,0.0,18.29,0.0,-25.42,0.0,7.2855
LAX,4,30.48,0.22,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,54,0.65,1,0.14,0.6666,0,0.0,19.81,0.0,-30.26,0.0,7.2855
LAX,5,30.48,13.39,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,58,0.7166666666666667,1,9.6,0.6666,0,0.0,21.84,0.0,-17.09,0.0,7.2855
LAX,6,30.48,19.22,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,61,0.7666666666666666,1,14.74,0.6666,1,14.74,23.37,0.0,-11.26,0.0,7.2855
LAX,7,30.48,17.11,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,64,0.8166666666666667,1,13.97,0.6666,1,13.97,24.89,0.0,-13.37,0.0,7.2855
LAX,8,30.48,47.72,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,65,0.8333333333333333,1,39.77,0.6666,1,39.77,25.4,0.0,17.24,0.0,7.2855
LAX,9,30.48,55.56,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,64,0.8166666666666667,1,45.37,0.6666,1,45.37,24.89,0.0,25.08,0.0,7.2855
LAX,10,30.48,39.56,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,60,0.75,1,29.67,0.6666,0,0.0,22.86,0.0,9.08,0.0,7.2855
LAX,11,30.48,16.94,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,53,0.6333333333333333,1,10.73,0.6666,0,0.0,19.3,0.0,-13.54,0.0,7.2855
LAX,12,30.48,9.72,1458,0,33.0,34.0,33.0,54.0,35.0,11.0,18,MEDIUM,1,48,0.55,1,5.35,0.6666,0,0.0,16.76,0.0,-20.76,0.0,7.2855
MIA,1,16.54,0.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,60,0.75,1,0.0,0.6666,0,0.0,12.4,0.0,-16.54,0.0,2.4849
MIA,2,16.54,0.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,62,0.7833333333333333,1,0.0,0.6666,0,0.0,12.96,0.0,-16.54,0.0,2.4849
MIA,3,16.54,0.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,65,0.8333333333333333,1,0.0,0.6666,0,0.0,13.78,0.0,-16.54,0.0,2.4849
MIA,4,16.54,20.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,70,0.9166666666666667,1,18.33,0.6666,0,0.0,15.16,0.0,3.46,0.0,2.4849
MIA,5,16.54,20.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,74,0.9833333333333334,1,19.67,0.6666,0,0.0,16.26,0.0,3.46,0.0,2.4849
MIA,6,16.54,20.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,77,0.9,1,18.0,0.6666,1,18.0,14.89,0.0,3.46,0.0,2.4849
MIA,7,16.54,0.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,78,0.9,1,0.0,0.6666,1,0.0,14.89,0.0,-16.54,0.0,2.4849
MIA,8,16.54,40.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,78,0.9,1,36.0,0.6666,1,36.0,14.89,0.0,23.46,0.0,2.4849
MIA,9,16.54,0.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,77,0.9,1,0.0,0.6666,1,0.0,14.89,0.0,-16.54,0.0,2.4849
MIA,10,16.54,0.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,74,0.9833333333333334,1,0.0,0.6666,0,0.0,16.26,0.0,-16.54,0.0,2.4849
MIA,11,16.54,0.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,69,0.9,1,0.0,0.6666,0,0.0,14.89,0.0,-16.54,0.0,2.4849
MIA,12,16.54,20.0,11,0,33.0,34.0,33.0,54.0,35.0,11.0,5,LOW,0,64,0.8166666666666667,1,16.33,0.6666,0,0.0,13.51,0.0,3.46,0.0,2.4849
DFW,1,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,37,0.0,0,0.0,1.0,0,0.0,0.0,0.0,-10.0,0.0,0.0
DFW,2,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,41,0.1,1,0.0,1.0,0,0.0,1.0,0.0,-10.0,0.0,0.0
DFW,3,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,50,0.5833333333333334,1,0.0,1.0,0,0.0,5.83,0.0,-10.0,0.0,0.0
DFW,4,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,59,0.7333333333333334,1,0.0,1.0,0,0.0,7.33,0.0,-10.0,0.0,0.0
DFW,5,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,66,0.85,1,0.0,1.0,0,0.0,8.5,0.0,-10.0,0.0,0.0
DFW,6,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,74,0.9833333333333334,1,0.0,1.0,1,0.0,9.83,0.0,-10.0,0.0,0.0
DFW,7,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,78,0.9,1,0.0,1.0,1,0.0,9.0,0.0,-10.0,0.0,0.0
DFW,8,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,78,0.9,1,0.0,1.0,1,0.0,9.0,0.0,-10.0,0.0,0.0
DFW,9,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,70,0.9166666666666667,1,0.0,1.0,1,0.0,9.17,0.0,-10.0,0.0,0.0
DFW,10,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,58,0.7166666666666667,1,0.0,1.0,0,0.0,7.17,0.0,-10.0,0.0,0.0
DFW,11,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,47,0.5333333333333333,1,0.0,1.0,0,0.0,5.33,0.0,-10.0,0.0,0.0
DFW,12,10.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,LOW,0,39,0.0,0,0.0,1.0,0,0.0,0.0,0.0,-10.0,0.0,0.0
